gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene5798,31.40861486,19.12881701,2.710291619,8.77E-14,1.79E-11
gene11815,4411.510239,8.768864991,1.081303807,1.71E-18,1.61E-15
gene11816,754.2891884,7.775191781,1.142981745,7.09E-14,1.47E-11
gene11814,1102.39355,7.619487364,1.166533661,4.23E-13,6.74E-11
gene11813,3437.785984,6.92030578,0.964713605,5.36E-15,1.57E-12
gene42,2007.941918,6.607912192,0.784966031,2.88E-19,5.05E-16
gene3569,7410.43707,6.240179141,1.088934407,3.43E-11,3.16E-09
gene12119,74.85367832,5.752028134,1.087688652,3.25E-10,2.24E-08
gene1531,38.9003199,5.70651254,1.149596907,1.72E-09,9.47E-08
gene6470,6575.392199,5.494348762,0.917002957,5.34E-12,6.29E-10
gene5402,2647.338347,5.243762504,0.638197923,5.05E-19,6.79E-16
gene8490,147.5767222,4.979576154,0.863109813,2.11E-11,2.05E-09
gene6896,57.61717972,4.699786023,0.989125231,6.31E-09,2.70E-07
gene4309,350.2028279,4.48585367,1.406392232,1.82E-06,2.84E-05
gene6897,236.2203898,4.460811449,1.169813845,3.42E-07,7.29E-06
gene6455,6.180342285,4.447816106,1.439016214,2.33E-06,3.48E-05
gene7343,436.908679,4.224033004,1.154497956,6.63E-07,1.26E-05
gene8241,418.1711146,4.136732039,1.37147311,3.40E-06,4.79E-05
gene3160,20.79587019,4.123250405,1.964221162,1.66E-05,0.000171461
gene6464,408.6319633,3.961002395,1.395194763,5.53E-06,7.02E-05
gene6895,257.4324087,3.70509463,1.212441111,4.44E-06,5.90E-05
gene6467,12.96805612,3.638948255,1.800061827,2.71E-05,0.000255844
gene4618,1879.136948,3.520571609,1.148550061,5.11E-06,6.61E-05
gene3572,386.2999713,3.50582209,0.850634869,3.34E-07,7.15E-06
gene4503,21.66141151,3.502264512,1.348544166,1.24E-05,0.000134323
gene9873,117.3059121,3.20471158,0.776741905,4.65E-07,9.42E-06
gene9115,62.91757941,2.969242148,1.041990269,1.23E-05,0.000133378
gene11967,141.9301375,2.895570121,1.061749651,1.63E-05,0.000169015
gene5679,3350.847978,2.893859445,0.692267993,5.24E-07,1.03E-05
gene3065,29.03397335,2.890865106,0.437258844,2.38E-12,3.08E-10
gene5238,1547.322289,2.884040777,1.244479804,3.35E-05,0.000304364
gene3679,627.0598558,2.854569393,1.377021679,5.04E-05,0.000425825
gene3575,13.11766715,2.732762644,1.949235407,0.000130522,0.000918071
