gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
gene5798,31.40861486,29.51715083,2.6759236,9.06E-29,6.47E-26
gene11815,4411.510239,10.94985778,1.123677116,1.24E-25,4.56E-23
gene11816,754.2891884,9.850129702,1.186096555,1.57E-19,1.86E-17
gene11814,1102.39355,9.509779961,1.207268193,6.49E-18,5.97E-16
gene11813,3437.785984,8.787441042,0.985700272,1.64E-21,3.25E-19
gene3569,7410.43707,8.620898091,1.082971274,5.81E-18,5.46E-16
gene42,2007.941918,8.274780654,0.798887204,1.81E-27,9.85E-25
gene1531,38.9003199,7.602530578,1.114889766,4.50E-14,1.97E-12
gene4618,1879.136948,7.429115276,1.024682219,2.29E-15,1.26E-13
gene6470,6575.392199,7.254870238,0.90315902,5.95E-18,5.56E-16
gene5402,2647.338347,7.08233015,0.636879342,7.47E-31,1.04E-27
gene9583,24.62231175,7.0455468,1.810270163,2.74E-07,2.61E-06
gene4616,71.10342855,6.915876752,0.870176317,1.35E-17,1.18E-15
gene3575,13.11766715,6.88265367,1.444798074,1.02E-08,1.44E-07
gene12119,74.85367832,6.856298213,1.066616467,8.69E-13,2.97E-11
gene6467,12.96805612,6.850129271,1.377206542,3.78E-09,5.89E-08
gene6464,408.6319633,6.130011784,1.202875174,3.26E-09,5.17E-08
gene7343,436.908679,6.053017673,1.082756017,2.35E-10,4.67E-09
gene8490,147.5767222,5.869406565,0.847457598,5.27E-14,2.28E-12
gene4309,350.2028279,5.825461082,1.257164439,3.76E-08,4.57E-07
gene8241,418.1711146,5.7689371,1.206262308,1.99E-08,2.59E-07
gene3341,13.516936,5.663910307,2.125091212,9.73E-06,5.94E-05
gene6897,236.2203898,5.412440247,1.101483926,1.43E-08,1.92E-07
gene6895,257.4324087,5.363414857,1.07686605,1.07E-08,1.51E-07
gene4503,21.66141151,5.288910585,1.128942894,4.61E-08,5.43E-07
gene6896,57.61717972,5.179461773,0.956576336,1.32E-09,2.28E-08
gene9417,23.58301909,5.177650974,1.594194242,4.56E-06,3.05E-05
gene1600,79.18111097,4.992335708,1.094602656,1.01E-07,1.09E-06
gene1599,74.86897604,4.959576087,0.99622266,1.58E-08,2.10E-07
gene3572,386.2999713,4.926074803,0.832680048,9.42E-11,2.06E-09
gene9224,25.40766745,4.884620201,1.3287843,2.03E-06,1.51E-05
gene4617,8.040518117,4.876691805,2.228334097,3.25E-05,0.000168829
gene5238,1547.322289,4.853187922,1.005239782,3.56E-08,4.36E-07
gene2977,1512.883042,4.846176894,1.196956398,7.26E-07,6.09E-06
gene10833,0.78577496,4.839663396,5.681322887,2.74E-05,0.000145083
gene9115,62.91757941,4.688039651,0.898139482,6.18E-09,9.13E-08
gene4675,58.93976662,4.522491929,1.627423544,1.63E-05,9.24E-05
gene2449,72.46874631,4.518225082,1.411849177,7.40E-06,4.65E-05
gene2975,235.5931378,4.420484839,1.279014215,4.51E-06,3.03E-05
gene4203,178.6578509,4.41800071,1.003538773,2.99E-07,2.81E-06
gene2739,3944.338971,4.400823127,1.431283638,1.01E-05,6.13E-05
gene6830,3293.518499,4.334146353,1.094616161,1.32E-06,1.02E-05
